run,NSGA-II-SVM,NSGA-II-DT,RS
1,0.10447473047175153,0.1364948823025431,0.07251101650005647
2,0.044570104834243764,0.2552565929535708,0.1478791897248315
3,0.027159804424218732,0.018633652498278204,0.3603101757450378
4,0.08459548123263272,0.048147046315580797,0.1606103624194009
5,0.024490076753438852,0.12729240595425687,0.09750851706289075
6,0.02869132282417669,0.09996891478790061,0.24782922703633514
7,0.085015752500968,0.16362829325928702,0.4667008013376471
8,0.07489414766530626,0.12920852055801885,0.1894395935710696
9,0.02782564492522873,0.062435252179717134,0.10518082932082733
10,0.044570104834243780,0.125200438103664,0.07220167100114767
