run,ratio
1, "[0.10, 0.10, 0.13, 0.27, 0.17, 0.33, 0.33, 0.53, 0.40]"
2, "[0.10, 0.17, 0.30, 0.40, 0.50, 0.37, 0.50, 0.53, 0.33]"
3, "[0.03, 0.10, 0.27, 0.17, 0.20, 0.50, 0.37, 0.43, 0.37]"
4, "[0.03, 0.07, 0.10, 0.27, 0.13, 0.27, 0.33, 0.37, 0.50]"
5, "[0.03, 0.07, 0.10, 0.27, 0.13, 0.27, 0.33, 0.37, 0.50]"
6, "[0.13, 0.30, 0.23, 0.46, 0.60, 0.50, 0.56, 0.40, 0.50]"
7, "[0.03, 0.16, 0.30, 0.23, 0.46, 0.33, 0.53, 0.43, 0.36]"
8, "[0.03, 0.03, 0.13, 0.33, 0.06, 0.26, 0.50, 0.70, 0.60]"
9, "[0.03, 0.10, 0.33, 0.23, 0.30, 0.43, 0.60, 0.63, 0.60]"
10, "[0.10, 0.10, 0.10, 0.16, 0.20, 0.30, 0.50, 0.57, 0.43]"
